"","Id","Label"
"1","ADDAM_MARBRAND","Addam"
"2","AEGON","Aegon"
"3","AERYS","Aerys"
"4","ALLISER_THORNE","Allister"
"5","ARYA","Arya"
"6","ASSASSIN","Assassin"
"7","BAELOR","Baelor"
"8","BALON","Balon"
"9","BARRISTAN","Barristan"
"10","BENJEN","Benjen"
"11","BERIC","Beric"
"12","BORCAS","Borcas"
"13","BOWEN_MARSH","Bowen"
"14","BRAN","Bran"
"15","BRANDON_STARK","Brandon"
"16","BRONN","Bronn"
"17","CATELYN","Catelyn"
"18","CERSEI","Cersei"
"19","COHOLLO","Cohollo"
"20","DAENERYS","Daenerys"
"21","DAREON","Dareon"
"22","DOREAH","Doreah"
"23","DROGO","Drogo"
"24","GALBART_GLOVER","Galbart"
"25","GARED","Gared"
"26","GENDRY","Gendry"
"27","GREATJON_UMBER","Greatjon"
"28","GRENN","Grenn"
"29","HIGH_SEPTON","High Septon"
"30","HODOR","Hodor"
"31","HOSTER","Hoster"
"32","HOT_PIE","Hot Pie"
"33","HOUND","Sandor"
"34","HUGH_OF_THE_VALE","Hugh of the Vale"
"35","ILLYRIO","Illyrio"
"36","ILYN_PAYNE","Ilyn"
"37","IROGENIA","Irogenia"
"38","IRRI","Irri"
"39","JAIME","Jaime"
"40","JANOS_SLYNT","Janos"
"41","JAREMY_RYKKER","Jaremy"
"42","JEOR","Jeor"
"43","JHIQUI","Jhiqui"
"44","JOANNA","Joanna"
"45","JOFFREY","Joffrey"
"46","JON","Jon"
"47","JON_ARRYN","Jon Arryn"
"48","JONOS_BRACKEN","Jonos"
"49","JORAH","Jorah"
"50","JORY_CASSEL","Jory"
"51","JOYEUSE","Joyeuse"
"52","KEVAN","Kevan"
"53","LANCEL","Lancel"
"54","LEO_LEFFORD","Leo"
"55","LITTLE_BIRD","Little Bird"
"56","LITTLEFINGER","Petyr"
"57","LOMMY_GREENHANDS","Lommy"
"58","LORAS","Loras"
"59","LUKE","Luke"
"60","LYANNA","Lyanna"
"61","LYSA","Lysa"
"62","MACE","Mac"
"63","MAESTER_AEMON","Maester Aemon"
"64","MAESTER_LUWIN","Maester Luwin"
"65","MAGO","Mago"
"66","MARILLION","Marillion"
"67","MASHA_HEDDLE","Masha"
