Source,Target,Weight
NED,ROBERT,209
DAENERYS,JORAH,543
JON,SAM,349
LITTLEFINGER,NED,118
NED,VARYS,102
DAENERYS,DROGO,113
ARYA,NED,110
CATELYN,ROBB,232
BRONN,TYRION,349
CERSEI,NED,100
CERSEI,ROBERT,96
LITTLEFINGER,VARYS,98
SHAE,TYRION,324
CATELYN,NED,86
JOFFREY,SANSA,185
NED,PYCELLE,68
DAENERYS,VISERYS,71
SANSA,SEPTA_MORDANE,64
TYRION,TYWIN,301
JEOR,JON,111
ROBB,THEON,89
CERSEI,JOFFREY,217
ARYA,SANSA,228
BRAN,MAESTER_LUWIN,84
JAIME,NED,62
NED,SANSA,93
BRAN,ROBB,59
LORAS,RENLY,73
CERSEI,JAIME,478
DAENERYS,MIRRI_MAZ_DUUR,45
JON,TYRION,152
ARYA,SYRIO_FOREL,48
JORY_CASSEL,NED,44
JORAH,VISERYS,43
JON,PYP,54
CATELYN,TYRION,54
ROS,THEON,40
JOFFREY,NED,56
CERSEI,SANSA,141
GRENN,PYP,44
CATELYN,WALDER,53
DAENERYS,DOREAH,54
JAIME,TYRION,236
JAIME,TYWIN,146
BENJEN,JON,40
DAENERYS,IRRI,47
GREATJON_UMBER,ROBB,31
MORD,TYRION,31
CATELYN,LYSA,41
DOREAH,VISERYS,30
JORAH,RAKHARO,30
LYSA,ROBIN_ARRYN,30
LYSA,TYRION,37
NED,RENLY,30
PYP,SAM,69
RENLY,ROBERT,35
BRAN,NED,61
BRAN,OSHA,153
JON,NED,72
BRAN,CATELYN,44
CATELYN,JAIME,70
CATELYN,RODRIK_CASSEL,28
DAENERYS,QOTHO,28
JOFFREY,ROBERT,37
JON,MAESTER_AEMON,55
DROGO,VISERYS,27
JAIME,JORY_CASSEL,27
BRAN,THEON,80
CATELYN,LITTLEFINGER,64
CATELYN,MAESTER_LUWIN,26
BARRISTAN,NED,25
ILLYRIO,VISERYS,25
JON,ROBB,35
OSHA,THEON,61
ARYA,JOFFREY,47
GRENN,JON,82
NED,ROBB,45
BARRISTAN,ROBERT,27
CATELYN,CERSEI,26
LITTLEFINGER,SANSA,416
SHAGGA,TYRION,22
TYRION,YOREN,22
ALLISER_THORNE,JON,133
ARYA,JON,29
DROGO,JORAH,22
JAIME,ROBERT,23
BRAN,JON,52
DAENERYS,WINE_MERCHANT,19
HOUND,SANSA,59
LITTLEFINGER,PYCELLE,27
